PLID,ShirtNo,Club,PosID,PLFORN,PLSURN,TEAMNAME,MINS,AttMinutes,DefMinutes,BallInPlayMins,FXID,HomeAway
21713,1,1950,1,Pierre,Schoeman,Edinburgh Rugby,58,14,15,29,938734,Home
31235,2,1950,2,Ewan,Ashman,Edinburgh Rugby,58,14,15,29,938734,Home
10300,3,1950,3,WP,Nel,Edinburgh Rugby,58,14,15,29,938734,Home
22627,4,1950,4,Sam,Skinner,Edinburgh Rugby,58,14,15,29,938734,Home
17125,5,1950,5,Grant,Gilchrist,Edinburgh Rugby,70,16,19,36,938734,Home
21754,6,1950,6,Jamie,Ritchie,Edinburgh Rugby,80,18,21,39,938734,Home
18640,7,1950,7,Hamish,Watson,Edinburgh Rugby,63,16,16,31,938734,Home
24151,8,1950,8,Viliame,Mata,Edinburgh Rugby,80,18,21,39,938734,Home
20875,9,1950,9,Ben,Vellacott,Edinburgh Rugby,64,16,16,32,938734,Home
33848,10,1950,10,Ben,Healy,Edinburgh Rugby,80,18,21,39,938734,Home
21898,11,1950,11,Duhan,van der Merwe,Edinburgh Rugby,80,18,21,39,938734,Home
25956,12,1950,12,James,Lang,Edinburgh Rugby,80,18,21,39,938734,Home
18625,13,1950,13,Mark,Bennett,Edinburgh Rugby,64,16,16,32,938734,Home
36720,14,1950,14,Matt,Currie,Edinburgh Rugby,80,18,21,39,938734,Home
22139,15,1950,15,Wes,Goosen,Edinburgh Rugby,58,14,15,29,938734,Home
18642,16,1950,2,Dave,Cherry,Edinburgh Rugby,22,4,5,10,938734,Home
34502,17,1950,1,Boan,Venter,Edinburgh Rugby,22,4,5,10,938734,Home
22585,18,1950,3,Javan,Sebastian,Edinburgh Rugby,22,4,5,10,938734,Home
30216,19,1950,4,Marshall,Sykes,Edinburgh Rugby,31,6,7,13,938734,Home
24459,20,1950,7,Luke,Crosbie,Edinburgh Rugby,17,2,5,7,938734,Home
19980,21,1950,9,Ali,Price,Edinburgh Rugby,16,2,5,7,938734,Home
36705,22,1950,15,Cameron,Scott,Edinburgh Rugby,22,4,5,10,938734,Home
21617,23,1950,12,Chris,Dean,Edinburgh Rugby,16,2,5,7,938734,Home
22807,1,2150,1,Jeremy,Loughman,Munster Rugby,80,21,18,39,938734,Away
19651,2,2150,2,Niall,Scannell,Munster Rugby,65,16,16,32,938734,Away
24588,3,2150,3,Oli,Jager,Munster Rugby,50,14,12,26,938734,Away
27383,4,2150,4,Fineen,Wycherley,Munster Rugby,44,12,10,22,938734,Away
19657,5,2150,5,Tadhg,Beirne,Munster Rugby,80,21,18,39,938734,Away
20755,6,2150,6,Jack,O'Donoghue,Munster Rugby,80,21,18,39,938734,Away
33608,7,2150,7,Alex,Kendellen,Munster Rugby,50,14,12,26,938734,Away
24446,8,2150,8,Gavin,Coombes,Munster Rugby,70,17,17,34,938734,Away
33852,9,2150,9,Craig,Casey,Munster Rugby,80,21,18,39,938734,Away
33614,10,2150,10,Jack,Crowley,Munster Rugby,80,21,18,39,938734,Away
24006,11,2150,11,Shane,Daly,Munster Rugby,80,21,18,39,938734,Away
23613,12,2150,12,Alex,Nankivell,Munster Rugby,58,15,14,29,938734,Away
37547,13,2150,13,Antoine,Frisch,Munster Rugby,80,21,18,39,938734,Away
24804,14,2150,14,Calvin,Nash,Munster Rugby,80,21,18,39,938734,Away
20567,15,2150,15,Mike,Haley,Munster Rugby,22,5,6,11,938734,Away
24788,16,2150,2,Eoghan,Clarke,Munster Rugby,15,5,2,6,938734,Away
38644,17,2150,16,Mark,Donnelly,Munster Rugby,0,0,0,0,938734,Away
19386,18,2150,3,John,Ryan,Munster Rugby,30,7,6,13,938734,Away
22730,19,2150,4,RG,Snyman,Munster Rugby,36,8,8,16,938734,Away
34666,20,2150,7,Thomas,Ahern,Munster Rugby,30,7,6,13,938734,Away
10308,21,2150,11,Conor,Murray,Munster Rugby,12,3,3,6,938734,Away
20500,22,2150,12,Rory,Scannell,Munster Rugby,58,16,12,28,938734,Away
58406,23,2150,8,Brian,Gleeson,Munster Rugby,10,4,1,5,938734,Away
22807,1,2150,1,Jeremy,Loughman,Munster Rugby,62,16,10,26,938749,Home
19651,2,2150,2,Niall,Scannell,Munster Rugby,47,12,8,20,938749,Home
16923,3,2150,3,Stephen,Archer,Munster Rugby,47,12,8,20,938749,Home
22730,4,2150,4,RG,Snyman,Munster Rugby,80,20,15,35,938749,Home
19657,5,2150,5,Tadhg,Beirne,Munster Rugby,80,20,15,35,938749,Home
10268,6,2150,6,Peter,O'Mahony,Munster Rugby,47,12,8,20,938749,Home
33856,7,2150,7,John,Hodnett,Munster Rugby,62,16,10,26,938749,Home
24446,8,2150,8,Gavin,Coombes,Munster Rugby,80,20,15,35,938749,Home
33852,9,2150,9,Craig,Casey,Munster Rugby,59,15,10,25,938749,Home
33614,10,2150,10,Jack,Crowley,Munster Rugby,80,20,15,35,938749,Home
24006,11,2150,11,Shane,Daly,Munster Rugby,80,20,15,35,938749,Home
29864,12,2150,12,Sean,O'Brien,Munster Rugby,80,20,15,35,938749,Home
37547,13,2150,13,Antoine,Frisch,Munster Rugby,69,17,13,30,938749,Home
24804,14,2150,14,Calvin,Nash,Munster Rugby,80,20,15,35,938749,Home
11186,15,2150,15,Simon,Zebo,Munster Rugby,53,13,9,23,938749,Home
24750,16,2150,2,Diarmuid,Barron,Munster Rugby,33,8,6,15,938749,Home
19386,17,2150,1,John,Ryan,Munster Rugby,18,4,5,9,938749,Home
24588,18,2150,3,Oli,Jager,Munster Rugby,33,8,6,15,938749,Home
20755,19,2150,6,Jack,O'Donoghue,Munster Rugby,33,8,6,15,938749,Home
33608,20,2150,7,Alex,Kendellen,Munster Rugby,18,4,5,9,938749,Home
10308,21,2150,9,Conor,Murray,Munster Rugby,21,5,5,10,938749,Home
40589,22,2150,10,Tony,Butler,Munster Rugby,11,3,2,5,938749,Home
20567,23,2150,15,Mike,Haley,Munster Rugby,27,7,5,12,938749,Home
20327,1,3250,1,Nicky,Smith,Ospreys,55,10,14,23,938749,Away
29806,2,3250,2,Dewi,Lake,Ospreys,62,10,16,26,938749,Away
20151,3,3250,3,Tom,Botha,Ospreys,55,10,14,23,938749,Away
24591,4,3250,4,James,Ratti,Ospreys,80,15,20,35,938749,Away
43548,5,3250,5,Huw,Owen-Sutton,Ospreys,70,13,18,31,938749,Away
33843,6,3250,6,Jac,Morgan,Ospreys,80,15,20,35,938749,Away
13119,7,3250,7,Justin,Tipuric,Ospreys,80,15,20,35,938749,Away
27360,8,3250,8,Morgan,Morris,Ospreys,74,13,19,33,938749,Away
23623,9,3250,9,Reuben,Morgan-Williams,Ospreys,69,13,17,30,938749,Away
18602,10,3250,10,Owen,Williams,Ospreys,80,15,20,35,938749,Away
23625,11,3250,11,Keelan,Giles,Ospreys,79,15,20,34,938749,Away
24481,12,3250,12,Keiran,Williams,Ospreys,80,15,20,35,938749,Away
22744,13,3250,13,Owen,Watkin,Ospreys,80,15,20,35,938749,Away
19617,14,3250,14,Luke,Morgan,Ospreys,80,15,20,35,938749,Away
38522,15,3250,15,Max,Nagy,Ospreys,70,13,18,31,938749,Away
18619,16,3250,2,Sam,Parry,Ospreys,18,5,4,9,938749,Away
19851,17,3250,1,Gareth,Thomas,Ospreys,25,5,7,12,938749,Away
29812,18,3250,3,Rhys,Henry,Ospreys,25,5,7,12,938749,Away
21714,19,3250,5,Victor,Sekekete,Ospreys,10,2,2,4,938749,Away
43901,20,3250,8,Morgan,Morse,Ospreys,6,1,1,2,938749,Away
40075,21,3250,9,Luke,Davies,Ospreys,11,2,3,5,938749,Away
31251,22,3250,11,Luke,Scully,Ospreys,1,0,1,1,938749,Away
